artist,title,startTime
BEACH WEATHER,"SEX, DRUGS, ETC",09 Sep 2022 05:53:24
GREEN DAY,AMERICAN IDIOT,09 Sep 2022 05:56:38
WEEZER,A LITTLE BIT OF LOVE,09 Sep 2022 05:59:34
EMPIRE OF THE SUN,WALKING ON A DREAM,09 Sep 2022 06:02:28
IMAGINE DRAGONS,BONES,09 Sep 2022 06:05:38
THE MIGHTY MIGHTY BOSSTONES,"IMPRESSION THAT I GET THE,",09 Sep 2022 06:08:19
THE KILLERS,BOY,09 Sep 2022 06:11:31
NEIGHBOURHOOD,SWEATER WEATHER,09 Sep 2022 06:14:49
GIANT ROOKS,MORNING BLUE,09 Sep 2022 06:18:44
QUEENS OF THE STONE AGE,NO ONE KNOWS,09 Sep 2022 06:22:32
LUMINEERS,BRIGHTSIDE,09 Sep 2022 06:26:50
THE SHINS,NEW SLANG,09 Sep 2022 06:30:27
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 06:34:16
COLDPLAY,ORPHANS,09 Sep 2022 06:38:05
RED HOT CHILLI PEPPERS,BLACK SUMMER,09 Sep 2022 06:44:18
M83,MIDNIGHT CITY,09 Sep 2022 06:48:13
THE 1975,PART OF THE BAND,09 Sep 2022 06:52:05
FOO FIGHTERS,LEARN TO FLY,09 Sep 2022 06:56:04
GIRL IN RED,SEROTONIN,09 Sep 2022 06:59:56
BASTILLE,POMPEII,09 Sep 2022 07:03:04
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 07:06:41
GORILLAZ,CLINT EASTWOOD,09 Sep 2022 07:10:16
TWO DOOR CINEMA CLUB,LUCKY,09 Sep 2022 07:13:49
DAYGLOW,CAN I CALL YOU TONIGHT,09 Sep 2022 07:17:08
FALLING IN REVERSE,VOICES IN MY HEAD,09 Sep 2022 07:20:57
MANESKIN,SUPERMODEL,09 Sep 2022 07:26:50
CAFUNE,TEK IT,09 Sep 2022 07:29:17
KALEO,WAY DOWN WE GO,09 Sep 2022 07:32:25
FOALS,2 AM,09 Sep 2022 07:35:58
BLINK-182,WHAT'S MY AGE AGAIN?,09 Sep 2022 07:39:46
ALMOST MONDAY,SUN KEEPS ON SHINING,09 Sep 2022 07:42:12
PANIC AT THE DISCO,HIGH HOPES,09 Sep 2022 07:45:10
INTERRUPTERS,RAISED BY WOLVES,09 Sep 2022 07:48:26
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 07:54:00
INCUBUS,DRIVE,09 Sep 2022 07:56:50
TWENT-ONE PILOTS,STRESSED OUT,09 Sep 2022 08:00:47
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 08:04:09
THE KILLERS,SOMEBODY TOLD ME,09 Sep 2022 08:07:27
MARCUS MUMFORD,GRACE,09 Sep 2022 08:10:43
LUMINEERS,WHERE WE ARE,09 Sep 2022 08:14:32
WALK THE MOON,GIANTS,09 Sep 2022 08:17:23
JACK WHITE,WHAT'S THE TRICK,09 Sep 2022 08:24:10
